Place,VP total,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods,Match ID/Avg lvl
,,,,,,,,,,,,,,,,,,,,,,,,,
4th (50),2:40,14,-2,5,10,20,0,3,0,3,0,1,4,12,11,yes,3,4,0,0,5,2,3,1,
5th (37),3:46,13,-1,2,8,5,0,2,8,2,2,1,14,6,9,no,8,1,0,1,5,2,3,2,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (59),2:35,0,-6,6,3,19,31,6,0,3,0,3,2,13,0,no,9,3,6,0,0,2,3,3,#50449632
2nd (51),4:56,11,-1,4,3,0,16,11,7,3,0,5,18,5,8,no,14,0,5,1,4,5,3,0,389
3rd (50),3:20,9,-2,2,20,8,0,5,8,4,2,1,8,5,4,no,8,2,0,1,2,1,5,1,
4th (47),5:34,9,-2,3,5,19,0,2,11,2,2,1,12,8,6,no,10,4,0,2,3,2,3,0,
5th (44),5:02,13,-1,3,7,13,1,0,8,3,0,0,5,14,9,no,13,3,1,1,4,3,2,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (60),5:34,3,-3,2,5,6,47,0,0,2,0,4,14,10,2,no,12,2,8,1,1,3,1,0,#62247858
2nd (54),3:18,11,-3,5,20,17,0,4,0,4,0,0,12,16,7,no,8,4,0,0,3,2,4,1,388
3rd (52),2:56,10,-2,6,7,14,0,0,17,3,1,2,4,18,8,no,13,4,0,3,3,1,3,0,
4th (43),4:22,8,-2,2,5,11,0,0,19,2,2,0,10,10,6,no,10,2,0,3,4,1,3,1,
5th (39),4:02,9,-3,1,3,29,0,0,0,1,3,0,16,2,7,no,11,5,0,0,3,1,3,2,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (53),3:01,8,-3,7,10,22,0,3,6,3,0,1,16,10,6,no,12,5,0,1,3,3,2,1,#58114462
